City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
338,basciftlik,40.5469,37.1692,8.45,53,40,4.67,TR,1707567551
339,kavieng,-2.5744,150.7967,28.35,79,100,4.57,PG,1707567551
340,la'ie,21.6477,-157.9253,21.98,93,47,5.67,US,1707567551
341,puerto ayacucho,5.6639,-67.6236,25.63,76,55,6.59,VE,1707567551
342,aykhal,66.0,111.5,-35.82,100,90,1.25,RU,1707567551
343,santa ana,33.7456,-117.8678,11.02,85,0,0.0,US,1707567551
344,york,40.1254,-77.0,8.83,87,40,0.0,US,1707567551
345,lata,40.1629,-8.3327,11.15,81,80,5.92,PT,1707567551
346,rocha,-34.4833,-54.3333,24.19,87,100,3.3,UY,1707567551
347,lodeynoye pole,60.726,33.5531,-10.21,89,83,2.12,RU,1707567552
348,tazacorte,28.629,-17.9293,21.54,93,75,2.68,ES,1707567552
349,mejit,10.2753,170.8646,26.22,75,98,10.34,MH,1707567552
350,vizinga,61.0749,50.1031,-11.63,93,100,3.22,RU,1707567552
351,isla vista,34.4133,-119.861,10.25,70,0,0.0,US,1707567552
352,natal,-5.795,-35.2094,30.12,79,75,6.69,BR,1707567552
353,beidaihehaibin,39.8222,119.5181,-2.03,60,2,2.55,CN,1707567552
354,phan rang-thap cham,11.5667,108.9833,23.94,81,73,6.04,VN,1707567366
355,tidjikja,18.5564,-11.4271,29.56,5,1,4.44,MR,1707567552
356,praia da vitoria,38.7333,-27.0667,20.14,88,75,8.51,PT,1707567552
357,howrah,22.5892,88.3103,24.0,38,0,2.57,IN,1707567553
358,macouria,4.9167,-52.3667,28.97,74,75,5.66,GF,1707567553
359,tangier,35.7806,-5.8137,16.58,100,40,6.17,MA,1707567553
